"","Date","^GSPC","BHP","SHW","SCCO","VMC","BBL","VALE","BIDU","IBM","SNE","MU","AAPL","TXN","NVS","PFE","NVO","ABT","SNY","BDX","CHTR","LBTYB","CMCSA","CHL","TLK","CHA"
"1","2011-01-01",1286.119995,61.915394,77.05809,33.21801,40.132294,50.980778,26.669069,108.629997,125.247375,31.749649,10.54,32.3228,27.357647,36.136154,13.507136,15.219504,16.398638,25.016691,71.45462,42,20.087269,8.708488,36.347675,25.910166,48.806896
"2","2011-02-01",1327.219971,65.789001,74.68441,31.365141,43.234634,52.708733,26.348021,121.160004,125.154655,34.061077,11.13,33.645931,28.838402,36.40139,14.263302,17.039711,17.807577,25.140285,68.913445,45.77,21.755648,9.946251,34.964481,26.349453,48.96386
"3","2011-03-01",1325.829956,66.679176,76.718269,30.237185,43.243423,52.901451,25.67065,137.809998,126.573776,29.428989,11.47,33.198215,27.988073,36.666061,15.214851,16.847334,18.159283,25.605577,68.586113,50.630001,21.894251,9.544693,34.210014,25.879345,50.393036
"4","2011-04-01",1363.609985,71.100121,75.165443,28.127268,42.864101,56.604553,25.709139,148.520004,132.403015,26.334396,11.32,33.352528,28.773609,39.917774,15.70928,18.494263,19.266239,28.731754,74.414482,58.939999,23.690966,10.120002,34.091663,27.852276,48.203838
"5","2011-05-01",1345.199951,67.012779,80.234917,25.949764,38.397507,53.390381,25.128773,135.710007,131.122299,24.873957,10.2,33.133434,28.691236,43.527031,16.068859,18.293915,19.730797,28.797188,75.808563,56.490002,23.485626,9.833233,33.854965,27.72897,50.383835
"6","2011-06-01",1320.640015,66.457977,76.936684,25.055367,36.770176,52.73814,24.887308,140.130005,133.751358,24.548384,7.48,31.975109,26.683666,41.226551,15.581492,18.187935,19.870514,30.569351,74.613625,54.259998,23.100616,9.872192,35.385658,26.588366,55.015373
"7","2011-07-01",1292.280029,64.294907,70.790558,26.038673,32.723835,50.532581,25.26899,157.070007,141.781952,23.348406,7.37,37.196175,24.180298,41.28727,14.560374,17.714657,19.37961,29.488741,72.746986,54,22.043121,9.357937,37.692764,28.011593,55.309578
"8","2011-08-01",1218.890015,59.814285,69.478783,25.741402,33.430038,45.805458,21.997417,145.779999,134.032104,20.418228,5.91,36.657967,21.39456,39.438782,14.35615,15.484714,20.208351,27.829756,70.806717,49.880001,22.910677,8.455141,38.706375,27.465807,55.418846
"9","2011-09-01",1131.420044,46.660343,68.510506,19.438951,26.50897,35.692207,18.146992,106.910004,136.933578,17.674093,5.04,36.323627,21.753725,37.624035,13.521937,14.448141,19.681107,24.960791,63.793911,46.84,20.374743,8.223224,36.845566,26.542789,52.022942
"10","2011-10-01",1253.300049,55.59412,76.244698,23.865026,30.096724,43.080608,20.224346,140.179993,144.576218,19.673214,5.59,38.558365,25.084126,38.096268,14.730347,15.432451,20.731745,27.205738,68.423683,45.939999,20.374743,9.217717,36.714947,27.128704,51.358894
"11","2011-11-01",1246.959961,53.522163,80.042648,24.215069,31.20286,42.245956,18.525791,130.990005,147.215164,16.933788,5.99,36.407448,24.705349,36.510895,15.349848,16.484995,21.399683,26.642595,64.531487,52.869999,20.210472,9.007997,38.343807,26.28595,52.014538
"12","2011-12-01",1257.599976,50.289616,82.642563,23.992859,37.861107,39.947231,17.091539,116.470001,144.567795,16.92441,6.29,38.579315,23.892786,38.568512,16.717196,16.733244,22.058737,27.806931,65.353653,56.939999,21.098562,9.421244,37.432884,24.672676,48.021828
"13","2012-01-01",1312.410034,56.562466,90.289352,27.578272,42.200466,46.063484,20.159248,127.519997,151.423477,17.093275,7.6,43.483173,26.576717,36.67281,16.531797,17.302343,21.24276,28.25592,69.000023,57.639999,23.552361,10.662316,39.432281,24.600441,47.147629
